Class,Count,Min Speed (m/s),Max Speed (m/s),Mean Speed (m/s),Mean MAE (m),Mean RMSE (m),AWY Detected
Diagonal,8,0.1428713391686274,1.727939584,0.6167625556097482,0.4186893101215345,0.526727044684393,8/8
Fast,10,0.1749167185920002,2.321995409066667,1.0222181765617548,0.45889340126109757,0.524072571084513,10/10
Medium,7,0.02538753437192985,0.4606773248,0.19727010863998098,0.32336923178962085,0.36595409214760294,7/7
