,precision,recall,f1-score,support
Diagonal,1,0.875,0.9333333333333333,8
Fast,0.7692307692307693,1,0.8695652173913044,10
Medium,1,0.7142857142857143,0.8333333333333333,7
accuracy,0.88,0.88,0.88,0.88
macro avg,0.923076923076923,0.8630952380952381,0.8787439613526571,25
weighted avg,0.9076923076923077,0.88,0.8798260869565218,25
