filename,label,start_distance,end_distance,displacement,duration,regression_speed,awy_detected,reg_mae,reg_rmse,num_dropouts,dropout_ratio,mean_amplitude,std_amplitude,mean_echo_energy,std_echo_energy,signal_range,start_stability
dia 1.csv,Diagonal,1.58968843264,2.21204239872,0.6223539660800004,2.45,0.2540220269714287,true,0.2950108348230905,0.3373474026094895,0,0,-1143.105,260.6711797936243,90.87988823744165,19.49066847497167,0.6343104768000001,0.2116427320567396
dia 10.csv,Diagonal,1.85774285312,2.222064768,0.3643219148799999,2.55,0.1428713391686274,true,0.3484123492214993,0.3797069120782416,0,0,-1184.66,280.412703706519,94.45326310038784,21.95201616968087,0.6418712115200003,0.07702145994864787
dia 2.csv,Diagonal,1.59557877248,2.11577490432,0.5201961318399999,1.4,0.3715686656,true,0.2247241799314286,0.2486055202226755,0,0,-1063.315,247.8514792673225,85.34678035137034,20.51629655973362,0.6443328460799997,0.002753608961667658
dia 4.csv,Diagonal,1.59628209664,2.22215268352,0.6258705868799999,1.75,0.3576403353599998,true,0.2524737808384001,0.3085845107908466,0,0,-1276.75,264.1356611667573,103.2967255712994,19.60322687948623,0.6489044531199997,0.2299434081040719
dia 5.csv,Diagonal,1.60190868992,2.20817411584,0.6062654259200002,4.050000000000001,0.1496951668938272,true,0.2417777699842341,0.282010514415656,0,0,-1088.02,270.8478347707436,89.98247197146826,21.43373084600663,0.6450361702399996,0.003923396918930921
diagonalobjectleft_200.csv,Diagonal,0.004659522560000001,1.90539306496,1.9007335424,1.1,1.727939584,true,0.5258739486254543,0.8011658733669125,32,0.16,-988.62,298.7132497898277,72.13137675687187,21.70133671726073,2.21494361088,0.0006167259628916173
diagonalobjectrange_200.csv,Diagonal,0.006329917440000001,1.91014050304,1.9038105856,1.3,1.464469681230769,true,0.6521969933860353,0.8893700579363056,31,0.155,-927.935,296.8374989367078,77.17228310665013,25.02433365432006,2.2014046208,0.0004444736033440092
diagonalobjectsmalldist_200.csv,Diagonal,1.02544662528,1.72428709376,0.69884046848,1.5,0.4658936456533334,true,0.8090446241621334,0.967025566055017,9,0.045,-1728.95,850.1899714181532,92.074142380829,29.35989457433213,1.79620198912,0.002608588444639845
fast 10.csv,Fast,0.08316808192000001,0.9167830425600001,0.8336149606400001,0.7500000000000002,1.111486614186666,true,0.5624483307520002,0.6306680868058008,0,0,-2242.125,701.4068002058434,105.0961413727888,27.39899263066489,1.01788589056,0.003465299263102701
fast 3.csv,Fast,0.12914789888,1.59012801024,1.46098011136,2.75,0.53126549504,true,0.2251536230027637,0.2876521030387521,2,0.01,-1041.77,487.0557946478001,87.1561159191402,26.95531201325397,2.10803833856,0.00437445754100624
fast 4.csv,Fast,0.6838948300800002,0.9630266060800001,0.2791317759999999,0.8999999999999999,0.3101464177777777,true,0.4922756279466668,0.5302348543872715,1,0.005,-2027.875,728.2156338441246,94.87726611908042,26.21966455871264,0.8589346304000001,0.2247366987340239
fast 5.csv,Fast,0.17609478656,0.87269340928,0.6965986227200001,0.3,2.321995409066667,true,0.3481564486400001,0.3891055099543813,3,0.015,-1925.075,670.0711077005186,89.70628195389698,21.61449720240317,0.8064490649600002,0.001297938003778102
fast 6.csv,Fast,0.02980336128,0.8534838681600001,0.82368050688,1.3,0.6336003899076923,true,0.3783695404610651,0.4549128718313502,17,0.085,-1410.07,419.0273202310321,72.66667488361273,17.54938370777932,1.56208295936,0.4646055065818911
fast 7.csv,Fast,0.04167195648000001,0.9177501132800001,0.8760781568000001,0.55,1.592869376,true,0.3916323988945455,0.4329552157317313,20,0.1,-1917.715,626.6763548874331,92.37832041400866,26.51258404838733,0.9020132352000001,0.004065092340866992
fast 8.csv,Fast,0.22479998464,0.8605171097600001,0.63571712512,0.3,2.119057083733333,true,0.3295586530133333,0.3710339687829439,2,0.01,-2002.515,667.3527776034201,91.42511799852146,21.3416588570974,0.7708432793600002,0.007631092457248313
fast 9.csv,Fast,0.86166001152,1.08030590976,0.2186458982400002,1.25,0.1749167185920002,true,0.4325077855436801,0.5913477922921553,4,0.02,-2663.65,797.8197838484579,116.0236289411969,20.82360988782865,1.07837176832,0.2645217622810718
fast_200.csv,Fast,0.00545076224,1.2774125056,1.27196174336,1.55,0.8206204795870968,true,1.016472655437253,1.116394912240068,20,0.1,-1050.87,342.8304144908967,65.45583875683462,25.21466138260551,2.01686994432,0.0003383320018979149
fastawy_200.csv,Fast,0.00975862272,1.161583808,1.15182518528,1.9,0.6062237817263157,true,0.4123589489196677,0.4364203957806747,18,0.09,-1250.345,409.7248051741559,66.10033746150012,19.91603176402976,1.1631223296,0.0008414668100144519
medium 1.csv,Medium,0.7103574016,1.06456903168,0.35421163008,1.35,0.2623789852444444,true,0.5510251741866666,0.5846986383028961,5,0.025,-3147.015,1266.335778841852,127.9533823974419,39.85613531416139,1.0457551104,0.006174399040485445
medium 10 distance 10cm.csv,Medium,0.005099100160000001,0.6730812211200001,0.6679821209600001,1.45,0.4606773248,true,0.222232245142069,0.3681317441964359,27,0.135,-1625.21,299.7573450309433,85.34721898055385,16.11870142074412,1.01472093184,0.001087774717935791
medium 11.csv,Medium,0.00676949504,0.6646413312,0.65787183616,2.25,0.2923874827377778,true,0.1672470120422716,0.1733868389583725,30,0.15,-1949.465,775.9178621316821,104.0034445314948,34.22145018039657,0.6663996416000001,0.0006789446439112325
medium 2.csv,Medium,0.31790252032,0.5001513932800001,0.1822488729600001,2,0.09112443648000004,true,0.3091045944448,0.3340126391458615,12,0.06,-1348.225,380.7515126365226,82.511602212847,21.90679459153203,0.9959949260800002,0.00155937946402985
medium 3.csv,Medium,0.3010227404800001,0.5786599526400001,0.2776372121600001,2.45,0.1133213110857143,true,0.3247449914663557,0.3430983897407235,31,0.05166666666666667,-1552.346666666667,594.1424603203811,89.6161378244243,25.44666328505198,1.36954797056,0.001902309837841013
medium 4.csv,Medium,0.25337252864,0.6263101644800001,0.3729376358400001,2.75,0.13561368576,true,0.2978258124800001,0.3083453697050865,17,0.085,-1137.395,504.4557651320877,69.23558003113902,25.92468664378458,0.62499143168,0.003168973424547009
medium 7.csv,Medium,0.59545181696,0.6678062899200001,0.07235447296000008,2.85,0.02538753437192985,true,0.3914047927651831,0.4500050249838444,14,0.07,-1321.61,445.8926304616393,81.10372191565503,19.27079508612994,1.27143425024,0.04778370590853759
