,precision,recall,f1-score,support
Diagonal,0.7777777777777778,0.875,0.823529411764706,8
Fast,0.8,0.8,0.8000000000000002,10
Medium,0.8333333333333334,0.7142857142857143,0.7692307692307692,7
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8037037037037038,0.7964285714285714,0.7975867269984919,25
weighted avg,0.8022222222222223,0.8,0.7989140271493212,25
